UNIT_CODE,UNIT_NAME,EVENT_NAME,STATE,LAT,LONG,DATE,PARK_URL,INAT_URL
ACAD,Acadia National Park,2016 National Parks BioBlitz - Acadia Lepidoptera BioBlitz,ME,44.3507318,-68.24410999,"Fri. July 22 - Sun. July 24, 2016",https://www.nps.gov/acad,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-acadia-lepidoptera-bioblitz
ANTI,Antietam National Battlefield,2016 National Parks BioBlitz - Antietam: Grassland Birds,MD,39.47010671,-77.7380518,"Sat. May 21, 2016",https://www.nps.gov/anti,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-antietam-grassland-birds
APIS,Apostle Islands National Lakeshore,2016 National Parks BioBlitz - Apostle Islands,WI,46.93671618,-90.57955662,"Sat. June 4, 2016",https://www.nps.gov/apis,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-apostle-islands
APCO,Appomattox Court House National Historical Park,2016 National Parks BioBlitz - Explore the Natural Side of Appomattox Court House,VA,37.38274761,-78.80089447,"Sat. May 21, 2016",https://www.nps.gov/apco,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-explore-the-natural-side-of-appomattox-court-house
ASIS,Assateague Island National Seashore,2016 National Parks BioBlitz - Assateague Island,"MD, VA",38.03902729,-75.24962442,"Sat. May 21, 2016",https://www.nps.gov/asis,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-assateague-island
AZRU,Aztec Ruins National Monument,2016 National Parks BioBlitz - Aztec Ruins BugBlitz: May,NM,36.83682198,-107.9999245,"Wed. May 18 - Thu. May 19, 2016",https://www.nps.gov/azru,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-aztec-ruins-bugblitz-may
AZRU,Aztec Ruins National Monument,2016 National Parks BioBlitz - Aztec Ruins BugBlitz: July,NM,36.839596,-107.995973,"Wed. July 20, 2016",https://www.nps.gov/azru,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-aztec-ruins-bugblitz-july
AZRU,Aztec Ruins National Monument,2016 National Parks BioBlitz - Aztec Ruins BugBlitz: September,NM,36.834478,-108.001209,"Tue. September 20, 2016",https://www.nps.gov/azru,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-aztec-ruins-bugblitz-september
BAND,Bandelier National Monument,2016 National Parks BioBlitz - Bandelier,NM,35.75757661,-106.3055099,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/band,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-bandelier
BELA,Bering Land Bridge National Preserve,2016 National Parks BioBlitz - Bering Land Bridge,AK,65.75704848,-163.9208061,"Thu. July 7 - Sun. July 10, 2016",https://www.nps.gov/bela,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-bering-land-bridge
BITH,Big Thicket National Preserve,2016 National Parks BioBlitz - Big Thicket Mini-BioBlitz,TX,30.20260051,-94.11767341,"Fri. October 14 - Sun. October 16, 2016",https://www.nps.gov/bith,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-big-thicket-mini-bioblitz
BOHA,Boston Harbor Islands National Recreation Area,2016 National Parks BioBlitz - Boston Harbor Islands,MA,42.26219884,-70.8761789,"Sat. September 24, 2016",http://www.bostonharborislands.org/,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-boston-harbor-islands
BUFF,Buffalo National River,2016 National Parks BioBlitz - Caddisflies of Buffalo National River,AR,35.968644,-92.91810617,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/buff,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-buffalo-national-river
CABR,Cabrillo National Monument,2016 National Parks BioBlitz - Cabrillo Intertidal BioBlitz,CA,32.67225021,-117.2415986,"Sun. March 6, 2016",https://www.nps.gov/cabr,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-cabrillo-intertidal-bioblitz
CABR,Cabrillo National Monument,2016 National Parks BioBlitz - Cabrillo: Urban Island BioBlitz,CA,32.67059,-117.243282,"Sat. May 21 - Sun. May 22, 2016",https://www.nps.gov/cabr,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-cabrillo-urban-island-bioblitz
CAVO,Capulin Volcano National Monument,2016 National Parks BioBlitz - Capulin Volcano,NM,36.78171068,-103.9710428,"Sat. July 30, 2016",https://www.nps.gov/cavo,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-capulin-volcano
CARL,Carl Sandburg Home National Historic Site,2016 National Parks BioBlitz - Carl Sandburg Scientists,NC,35.26815486,-82.45106268,"Sat. July 23, 2016",https://www.nps.gov/carl,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-carl-sandburg-scientists
CARL,Carl Sandburg Home National Historic Site,2016 National Parks BioBlitz - Carl Sandburg Home,NC,35.273033,-82.449891,"Fri. May 20, 2016",https://www.nps.gov/carl,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-carl-sandburg-home
CATO,Catoctin Mountain Park,2016 National Parks BioBlitz - Catoctin Insect BioBlitz,MD,39.64821119,-77.46122133,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/cato,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-catoctin-insect-bioblitz
CEBR,Cedar Breaks National Monument,"2016 National Parks BioBlitz - Cedar Breaks: Bats, Birds, and Bugs",UT,37.63545088,-112.8452681,"Fri. June 24 - Sun. June 26, 2016",https://www.nps.gov/cebr,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-cedar-breaks-bats-birds-and-bugs
CECH,Cesar E. Chavez National Monument,2016 National Parks BioBlitz - Cesar E. Chavez,CA,35.22729381,-118.5615781,"Sat. April 16, 2016",https://www.nps.gov/cech,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-cesar-e-chavez
CHIS,Channel Islands National Park,2016 National Parks BioBlitz - Channel Islands,CA,34.01655127,-119.7396508,"Mon. May 16 - Sat. May 21, 2016",https://www.nps.gov/chis,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-channel-islands
CHPI,Charles Pinckney National Historic Site,2016 National Parks BioBlitz - Charles Pinckney,SC,32.84577391,-79.82487582,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/chpi,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-charles-pinckney
CHOH,Chesapeake & Ohio Canal National Historic Park,2016 National Parks BioBlitz - C&O Canal Biodiversity Celebration,DC,39.5996516,-77.94484191,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/choh,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-c-o-canal-biodiversity-celebration
CHIC,Chickasaw National Recreation Area,2016 National Parks BioBlitz - Chickasaw PaleoBlitz,OK,34.46049374,-97.00715806,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/chic,http://nsstage/geology/nationalfossilday/paleoblitz_CHIC2016.cfm
CHIR,Chiricahua National Monument,"2016 National Parks BioBlitz - Chiricahua: Birds, Bugs and Botany",AZ,32.01214105,-109.3416065,"Sat. May 14, 2016",https://www.nps.gov/chir,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-chiricahua-birds-bugs-and-botany
CIRO,City of Rocks National Reserve,2016 National Parks BioBlitz - City of Rocks: Birds and Blooms,ID,42.06988424,-113.7124104,"Sat. May 21, 2016",https://www.nps.gov/ciro,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-city-of-rocks-birds-and-blooms
COLO,Colonial National Historical Park,2016 National Parks BioBlitz - Colonial ButterflyBlitz,VA,37.28808948,-76.63422124,"Sat. September 24, 2016",https://www.nps.gov/colo,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-colonial-insect-blitz
CONG,Congaree National Park,2016 National Parks BioBlitz - Congaree,SC,33.79684439,-80.77279206,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/cong,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-congaree
CORO,Coronado National Memorial,"2016 National Parks BioBlitz - Coronado: Birds, Bugs and Botany",AZ,31.34900273,-110.2561572,"Sat. May 21, 2016",https://www.nps.gov/coro,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-coronado-birds-bugs-and-botany
COWP,Cowpens National Battlefield,2016 National Parks BioBlitz - Cowpens,SC,35.13160593,-81.80935401,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/cowp,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-cowpens
CRLA,Crater Lake National Park,2016 National Parks BioBlitz - Crater Lake: Meet the Beetles,OR,42.9410862,-122.1328164,"Sat. July 23, 2016",https://www.nps.gov/crla,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-crater-lake-meet-the-beetles
CRMO,Craters of the Moon National Monument and Preserve,2016 National Parks BioBlitz - Craters of the Moon: Lichen Blitz,ID,43.28286894,-113.4416201,"Fri. May 13 - Sat. May 14, 2016",https://www.nps.gov/crmo,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-craters-of-the-moon-lichen-blitz
CUVA,Cuyahoga Valley National Park,2016 National Parks BioBlitz - Cuyahoga Valley,OH,41.26123633,-81.56904389,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/cuva,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-cuyahoga-valley
DEVA,Death Valley National Park,2016 National Parks BioBlitz - Death Valley: Discovering Life on the Edge,CA,36.48393063,-117.1326278,"Sat. March 12, 2016",https://www.nps.gov/deva,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-death-valley-discovering-life-on-the-edge-71162a33-482e-40e4-9b9a-5c08a7433e92
DENA,Denali National Park and Preserve,2016 National Parks BioBlitz - Denali - Arthropod Inventory,AK,63.34110762,-150.7341423,"Wed. June 15 - Tue. August 30, 2016",https://www.nps.gov/dena,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-denali-arthropod-inventory
DETO,Devils Tower National Monument,2016 National Parks BioBlitz - Devils Tower Porcupine BioBlitz,WY,44.59064562,-104.7156342,"Sat. April 30, 2016",https://www.nps.gov/deto,http://www.inaturalist.org/places/devils-tower-national-monument
DINO,Dinosaur National Monument,2016 National Parks BioBlitz - Dinosaur Wild Life Weekend,CO,40.50596642,-108.9377028,"Sat. May 21 - Sun. May 22, 2016",https://www.nps.gov/dino,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-dinosaur-wild-life-weekend
EBLA,Ebey's Landing National Historical Reserve,2016 National Parks BioBlitz - Ebey's Landing,WA,48.214014,-122.6877159,"Fri. May 20 - Sun. May 22, 2016",https://www.nps.gov/ebla,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-ebey-s-landing
EFMO,Effigy Mounds National Monument,2016 National Parks BioBlitz - Effigy Mounds: Arthropodapolooza,IA,43.09145766,-91.20777104,"Fri. July 8 - Sat. July 9, 2016",https://www.nps.gov/efmo,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-effigy-mounds-arthropodapolooza
FRST,First State National Historical park,2016 National Parks BioBlitz - First State,DE,39.83184434,-75.56362482,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/frst,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-first-state
FOBO,Fort Bowie National Historic Site,"2016 National Parks BioBlitz - Fort Bowie: Birds, Bugs and Botany",AZ,32.14925916,-109.4511317,"Sat. March 26, 2016",https://www.nps.gov/fobo,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-fort-bowie-birds-bugs-and-botany
FOCA,Fort Caroline National Memorial,2016 National Parks BioBlitz - Fort Caroline: Insect BioBlitz,FL,30.38452103,-81.50029453,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/foca,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-fort-caroline-insect-bioblitz
FOSU,Fort Sumter National Monument,2016 National Parks BioBlitz - Fort Moultrie,SC,32.75359427,-79.87933364,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/fosu,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-fort-moultrie
FOVA,Fort Vancouver National Historic Site,2016 National Parks BioBlitz - Fort Vancouver,WA,45.62356027,-122.6616376,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/fova,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-fort-vancouver
GAAR,Gates of the Arctic National Park & Preserve,2016 National Parks BioBlitz - Gates of the Arctic,AK,67.86900574,-153.3869032,"Fri. May 20 - Sun. May 22, 2016",https://www.nps.gov/gaar,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-gates-of-the-arctic
GATE,Gateway National Recreation Area,2016 National Parks BioBlitz - Gateway: Jamaica Bay BioBlitz,NY,40.6185497,-73.86104474,"Fri. June 10 - Sat. June 11, 2016",https://www.nps.gov/gate,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-jamaica-bay-bioblitz
GATE,Gateway National Recreation Area,2016 National Parks BioBlitz - Gateway: Sandy Hook BioBlitz,NY,40.457516,-73.997349,"Fri. September 23 - Sat. September 24, 2016",https://www.nps.gov/gate,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-gateway-sandy-hook-bioblitz
GWCA,George Washington Carver National Monument,2016 National Parks BioBlitz - George Washington Carver: Harkins Woods,MO,36.98713203,-94.35522735,"Sat. May 21, 2016",https://www.nps.gov/gwca,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-george-washington-carver-harkins-woods
GWMP,George Washington Memorial Parkway,2016 National Parks BioBlitz - George Washington Memorial Parkway,VA,38.71498629,-77.04954861,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/gwmp,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-george-washington-memorial-parkway
GETT,Gettysburg National Military Park,2016 National Parks BioBlitz - Gettysburg,PA,39.80428488,-77.23846983,"Fri. May 20, 2016",https://www.nps.gov/gett,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-gettysburg
GLAC,Glacier National Park,2016 National Parks BioBlitz - Glacier Alpine Aquatic Insect Blitz,MT,48.490161,-113.476888,"Fri. August 26 - Sun. August 28, 2016",https://www.nps.gov/glac,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-glacier-alpine-aquatic-insect-blitz
GLAC,Glacier National Park,2016 National Parks BioBlitz - Glacier Weed Blitz,MT,48.916481,-113.902463,"Tue. July 19, 2016",https://www.nps.gov/glac,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-glacier-weed-blitz
GLAC,Glacier National Park,2016 National Parks BioBlitz - Glacier Lake Ecology Blitz,MT,48.74679601,-113.8587463,"Wed. May 25 - Sat. May 28, 2016",https://www.nps.gov/glac,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-glacier-lake-ecology-blitz
GLAC,Glacier National Park,2016 National Parks BioBlitz - Glacier Wildlife Observations,MT,48.639254,-113.860802,"Sun. May 1 - Fri. September 30, 2016",https://www.nps.gov/glac,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-glacier-wildlife-observations
GOGA,Golden Gate National Recreation Area,2016 National Parks BioBlitz - Golden Gate with Farallone View Elementary,CA,37.85887677,-122.551128,"Fri. April 1, 2016",https://www.nps.gov/goga,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-golden-gate-with-farallone-view-elementary
GRCA,Grand Canyon National Park,2016 National Parks BioBlitz - Grand Canyon Birds,AZ,36.18654515,-112.185254,"Sat. September 10 - Sun. September 11, 2016",https://www.nps.gov/grca,https://www.inaturalist.org/projects/2016-national-parks-bioblitz-grand-canyon-birds
GRBA,Great Basin National Park,2016 National Parks BioBlitz - Great Basin Bird BioBlitz,NV,38.9460953,-114.2579658,"Fri. May 20 - Sun. May 22, 2016",https://www.nps.gov/grba,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-great-basin-bird-bioblitz
GRSM,Great Smoky Mountains NP,2016 National Parks BioBlitz - Great Smoky Mountains: North Carolina,NC,35.5759,-83.432735,"Fri. April 22, 2016",https://www.nps.gov/grsm,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-great-smoky-mountains-north-carolina
GRSM,Great Smoky Mountains NP,2016 National Parks BioBlitz - Great Smoky Mountains: Tennessee,TN,35.60927471,-83.52627532,"Thu. May 12, 2016",https://www.nps.gov/grsm,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-great-smoky-mountains-tennessee
GUCO,Guilford Courthouse National Military Park,2016 National Parks BioBlitz - Guilford Courthouse: Environmental Inventory,NC,36.1330178,-79.84186813,"Sat. September 24, 2016",https://www.nps.gov/guco,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-guilford-courthouse
GUIS,Gulf Islands National Seashore,2016 National Parks BioBlitz - Gulf Islands,FL,30.37306335,-86.90996505,"Sat. May 21, 2016",https://www.nps.gov/guis,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-gulf-islands
HAFE,Harpers Ferry National Historical Park,2016 National Parks BioBlitz - Harpers Ferry,WV,39.31286155,-77.74195536,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/hafe,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-harpers-ferry
HAVO,Hawaii Volcanoes National Park,2016 National Parks BioBlitz - Hawai'i Volcanoes: E Ho'omau...To perpetuate,HI,19.37757748,-155.6028551,"Sat. August 27, 2016",https://www.nps.gov/havo,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-hawai-i-volcanoes-e-ho-omau-to-perpetuate
HOME,Homestead National Monument of America,2016 National Parks BioBlitz - Homestead Critter Count,NE,40.28799999,-96.83392498,"Sat. May 21, 2016",https://www.nps.gov/home,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-homestead-critter-count
HOME,Homestead National Monument of America,2016 National Parks BioBlitz - Homestead Bee BioBlitz,NE,40.286879,-96.83247,"Sun. October 2, 2016",https://www.nps.gov/home,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-homestead-bee-bioblitz
HOFU,Hopewell Furnace NHS,2016 National Parks BioBlitz - Hopewell Furnace,PA,40.2060723,-75.76811627,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/hofu,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-hopewell-furnace
HOSP,Hot Springs National Park,2016 National Parks BioBlitz - Hot Springs: Reptilian Roundup and Fungus Find,AR,34.51113731,-93.08972185,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/hosp,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-hot-springs-reptilian-roundup-and-fungus-find
HUTR,Hubbell Trading Post National Historic Site,2016 National Parks BioBlitz - Hubbell Trading Post,AZ,35.70727316,-109.5599516,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/hutr,http://www.inaturalist.org/places/hubbell-trading-post-national-historic-site
INDU,Indiana Dunes National Lakeshore,2016 National Parks BioBlitz - Indiana Dunes: Miller Woods BioBlitz,IN,41.66141521,-87.03253334,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/indu,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-indiana-dunes-miller-woods-bioblitz
JELA,Jean Lafitte National Historical Park and Preserve,2016 National Parks BioBlitz - Jean Lafitte BugBlitz,LA,29.81916125,-90.14721028,"Fri. May 6, 2016",https://www.nps.gov/jela,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-jean-lafitte-bugblitz
